idap_line,alarm_name,alarm_def_id,what_fixed_it,classification,derived_tier,occurrence_count,total_downtime_mins,avg_downtime_mins,distinct_days_affected,first_occurrence,last_occurrence,maximo_cm_count,top_assetnum,top_asset_location,top_failure_code,top_failure_code_desc,sample_wo_descriptions,frequency_tier,last_wo_date,days_since_last_wo,last_wonum,last_wo_description,last_wo_worktype,last_wo_assetnum,last_wo_asset_location,last_wo_failurecode,work_performed,root_cause
A2,A2 Zone 2 Paused,7786,null,null,TIER 2 - Critical Active,45991,81271.8,1.8,332,2025-07-08 17:28:11,2026-07-08 15:30:58,1187,K323502,IC0150A2AMODULEA,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 GLUE FACEPLATE REPLACMENT | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M,CRITICAL - Daily or more,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A5,C24 F025 Rjct 4 Cap Rjct Pres 1 (Chass D10) A064706-504,1252,null,null,TIER 3 - Medium,75,272.7,3.6,35,2025-07-23 23:06:17,2026-04-27 11:19:09,79,K407186,IC0150A5EMODULEE,PACK,Packaging Equipment,A2: Sentri1: EVS Vision tool alignment: Batch #D918673J | A5 - Cartoner - Lit Feeder #1 Faults | A5 - Cartoner - Lit Feeder Overhead Drive Speed,MEDIUM - Weekly,2026-04-27T08:27:25.000Z,72,27633919,"A5 CARTONER, PUSHER SAFETY FAULTS",CM,K407186,IC0150A5EMODULEE,PACK,"LOWERED LEAFLET POSITION FROM 30.0 TO 29.5, SWAPPED PUSHER ARM WITH THE ONE IN FRONT OF IT.",:
A2,C10F59 Chass Zone Grd Cap Feed 2 Left Opn,1030,null,null,TIER 2 - Critical Active,472,271.3,0.6,194,2025-07-15 15:34:38,2026-07-08 12:39:23,358,K323659,IC0150A2BKOBER2,ASSY,Assembly Equipment,A1 GLUE FACEPLATE REPLACMENT | A2 - Cartoner - Carton Critical Sensor Wouldn't Read | A2 - Cartoner - Carton Skew,CRITICAL - Daily or more,2026-07-06T04:55:59.000Z,2,28112017,A2 CAP FEEDER 1 NOT DROPPING CAPS D934030A,CM,K323612,IC0150A2BKOBER1,PACK0002,"REPLACED AIR LINE FOR TRACK 3, RESEATED FIBER OPTIC CABLES ON AMPLIFIER FOR PARTS PRESENCE SENSOR",UNKNOWN
A1,Starved - Pucks Outfeed Maximum,3015,null,null,TIER 3 - Medium,111,270.1,2.4,72,2025-07-19 19:21:03,2026-06-21 16:29:07,103,K334830,IC0150A1CIVS,ASSY,Assembly Equipment,A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT | A1 - Cartoner - Glue Issues | A1 - Cartoner - Lit Feeder #1 Faults,MEDIUM - Weekly,2026-06-21T16:01:11.000Z,17,28017606,A1 DSSA TRAY FEEDER MAIN MACHINE STATION 210/ TRAY POSITION WRONG ORIENT / D982466A,CM,K291052,IC0150A1AMODULEA,ASSY,null,null
A5,C17 F074 Cap Fdr 2 Trk 1 CCH Separated A064698-527,1563,null,null,TIER 2 - Critical Active,376,268.0,0.7,161,2025-07-09 02:56:42,2026-07-08 06:41:58,292,K407186,IC0150A5EMODULEE,PACK,Packaging Equipment,A2 casepacker not pulling cases | A5  / PEN LABELER / DAMAGED CARTON FEEDER SUCTION CUPS (D904592C) | A5 - Cartoner - Glue Firing Issues,CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A1,C6F47 DDS Mcr Not On,681,null,null,TIER 2 - Critical Active,1142,266.7,0.2,169,2025-07-19 03:48:23,2026-06-22 12:52:55,411,K291063,IC0150A1B310UVSPOTCUR,ASSY,Assembly Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - Adjustment to Puck Conveyor Speed | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT,CRITICAL - Daily or more,2026-06-21T21:37:31.000Z,17,28017858,A1 BAD CARTON KICK OUTS D982466A,CM,K407468,IC0150A1EQOB,VISN,null,null
A5,RejectStarwheeIClutchOvld,336,null,null,TIER 4 - Low / Monitor,51,264.9,5.2,33,2025-07-08 22:58:14,2026-05-09 17:57:10,69,K407081,IC0150A5BMODULEB,PACK,Packaging Equipment,A5 - Cartoner - LVC Vision Adjustment | A5 - Cartoner - Lit Feeder #3 Reflective Sensor | A5 - Cartoner - Robot Head Missing Pens,LOW - Less than weekly,2026-05-09T14:19:46.000Z,60,27754182,A5 PEN LABELER / PICKOFF SENSOR ALARM (D962807J),CM,K407156,IC0150A5CMODULEC,ROTA0017,REPLACED VACUUM GENERATOR #4 WITH NO IMPROVEMENT,UNKNOWN
A5,C07 F028 PalletPnp Z Srv Move Err A064692-508,1653,null,null,TIER 2 - Critical Active,409,264.2,0.6,130,2025-07-08 20:21:50,2026-07-07 18:38:18,309,K407105,IC0150A5B270GLUEDISPCK,ASSY,Assembly Equipment,A5  / PEN LABELER / DAMAGED CARTON FEEDER SUCTION CUPS (D904592C) | A5  LIT FEEDER 1 CAUSING PUSHER FAULTS | A5  TIMING ISSUES AT THE CARTONER D869316A,CRITICAL - Daily or more,2026-07-07T20:54:33.000Z,1,28126356,A5 STACKER AXIS FAULTS,CM,K407186,IC0150A5EMODULEE,PACK,ADJUST THE WIDTH OF THE CARTON LUG CHAIN TO REMOVE SKEW ON THE CARTONS.,:
A1,C0F17 Cart Ld In Conv Tray Pres,558,null,null,TIER 2 - Critical Active,586,264.1,0.5,128,2025-07-20 11:23:29,2026-06-23 22:04:41,183,K291052,IC0150A1AMODULEA,ASSY,Assembly Equipment,A1 - Cartoner - Carton Forming Issues | A1 - Cartoner - LVC Camera No Reads | A1 - Cartoner - LVC No Reads,CRITICAL - Daily or more,2026-06-23T05:54:30.000Z,15,28022990,A1 HIGH REJECTS ON LVC CAMERA,CM,K372060,IC0150A1LVCVIS,VISN,null,null
A2,C20F37 Press Cart Vfy Rmve Test Mstr,980,null,null,TIER 3 - High Active,342,264.1,0.8,142,2025-07-08 18:02:13,2026-07-07 05:43:38,330,K323713,IC0150A2,ASSY,Assembly Equipment,A2  HIGH REJECTS CAMERA 2 | A2  LABELER HIGH KICKOFF RATE CIRCLE SEARCH FAIL D881100F | A2 - Cartoner - LVC Camera No Read,HIGH - Multiple per week,2026-07-07T08:45:01.000Z,1,28123393,B150 A2 WAREHOUSE REINSTALL STOP BRACKET TO FLOOR,CM,null,IC0150A2,BUILDING,null,null
A2,C10F47 Chass Zone Grd Insp Gap Opn,1090,null,null,TIER 3 - High Active,283,264.1,0.9,163,2025-07-09 02:35:14,2026-07-04 07:03:46,236,K323504,IC0150A2CMODULEC,ASSY,Assembly Equipment,A1 GLUE FACEPLATE REPLACMENT | A2  LABELER HIGH KICKOFF RATE CIRCLE SEARCH FAIL D881100F | A2 - Cartoner - Carton Forming Issues,HIGH - Multiple per week,2026-06-27T14:55:58.000Z,11,28041685,A2 KEYANCE CHECK PM FOR CELL 20 GAUGE 5,CM,K323503,IC0150A2BMODULEB,ASSY,null,null
A2,C17F62 Cap Fdr 2 C12 Delvry Rot Home Pos,984,null,null,TIER 3 - High Active,222,263.9,1.2,74,2025-07-15 15:30:19,2026-07-08 00:02:49,144,K323659,IC0150A2BKOBER2,ASSY,Assembly Equipment,A1 GLUE FACEPLATE REPLACMENT | A2 - Cartoner - Robot Grippers Not Closing | A2 - DSSAID VISION ADJUSTMENT,HIGH - Multiple per week,2026-07-07T22:28:34.000Z,1,28126391,A2 CARTRIDGE LOAD G2D CARTRIDGE STICKING IN GRIPPER,CM,K323589,IC0150A2B280LOADCART,ASSY,CLEAN THE 1L GRIPPER ON THE G2D,:
A2,Skew Label Placement Eject Verification Fault,321,null,null,TIER 3 - Medium,93,262.5,2.8,33,2025-07-19 05:05:13,2025-09-29 07:30:51,59,K334518,IC0150A2UVRAD0511,ASSY,Assembly Equipment,A2  TRUNION BROKEN SHAFT | A2 - Cartoner - Open Flap | A2 - Labeler - Vision Adjustment,MEDIUM - Weekly,2025-09-21T15:35:37.000Z,290,26327160,A2 ROBOT MISSING PEN #10,CM,K323506,IC0150A2EMODULEE,PACK,TIGHTENED UP SCREWS TO BANK #10,SCREWS LOOSE TO BANK #10
A2,C6F41 DDS Tray Hndlr Rdy,1158,null,null,TIER 2 - Critical Active,731,260.4,0.4,250,2025-07-10 22:27:50,2026-07-08 10:29:01,489,K334766,IC0150A2B270GLUEDISPCK,ASSY,Assembly Equipment,A1 CARTON SKEW | A1 LIT FEEDER 2 PRESENCE AND RE-PHASING D822862M | A2  2D Gantry  R3 Cartridge loader issues.,CRITICAL - Daily or more,2026-07-07T17:29:05.000Z,1,28126269,A2 - Main Machine - Cap Feeder #1 Faults,CM,K323503,IC0150A2BMODULEB,ASSY,Replaced solenoid valve that controls air flow for the rotation,Unknown
A2,Label Head 2 Unwind Runaway Fault,7640,null,null,TIER 3 - Medium,65,260.2,4.0,48,2025-07-12 04:00:39,2026-06-19 06:39:43,82,K323504,IC0150A2,PACK,Packaging Equipment,A2  HIGH REJECTS CAMERA 2 | A2 - Cartoner - Lit Feeder #3 Reject Actuator | A2 - Case Packer - Creased Labels on Cases Found by Ops,MEDIUM - Weekly,2026-06-19T10:36:20.000Z,19,28012854,A2 MODULE C PRINTER/LABELER MAIN MACHINE/ REJECTS FOR OCR LINE 2/D956826A,CM,K323504,IC0150A2CMODULEC,PACK0017,:,:
A5,SEV3 fault Remove the products out of the machine,2710,null,null,TIER 3 - High Active,158,259.7,1.6,90,2025-07-10 07:00:38,2026-07-06 01:28:43,182,K407308,IC0150A5B285CBIVISTOOL,PACK,Packaging Equipment,"A2 BACK BANK ON 2D GANTRY LOOSE | A2 DELIVERY EJECT CYLINDER NOT IN WORK POSITION | A2 FLIP TRANSFER, NEST 5 OVERLOADS",HIGH - Multiple per week,2026-07-03T16:05:49.000Z,5,28101105,A5 MODULE B CAP/CARTRIDGE HOLD FEED 2 / UPPER TRACKS CAP JAMS (D957016D),CM,K407085,IC0150A5BKOBER2,PACK0002,"UPPER TRACKS 1 AND 2 TO SPEED TUBE ALIGNMENT; ADJUSTED UPPER TRACKS 1, 2, AND 3 CAP ROTATE REJECT RAIL",OUT OF ADJUSTMENT/ALIGNMENT
A5,C27 F016 UnLd Good Pen Profile Gate Tripped (Chass D2) A064709-504B,1566,null,null,TIER 3 - High Active,195,259.0,1.3,93,2025-07-20 12:08:47,2026-07-08 03:09:57,205,K407195,IC0150A5IMODULEI,PACK,Packaging Equipment,A2 DELIVERY EJECT CYLINDER NOT IN WORK POSITION | A5  TIMING ISSUES AT THE CARTONER D869316A | A5 - Cartoner - Broken Conveyor Dividers,HIGH - Multiple per week,2026-07-08T06:56:37.000Z,0,28127892,A5 CARTONER MAIN MACHINE / CARTON FORMING ISSUES (D957016D),CM,K407186,IC0150A5EMODULEE,PACK,null,null
A5,SEV4 Jam at the outfeed (205-B1) check 205B1,2711,null,null,TIER 3 - High Active,169,259.0,1.5,87,2025-07-10 05:10:34,2026-07-07 03:46:56,151,K407114,IC0150A5B300DSSAPNPGB,PACK,Packaging Equipment,A2 BACK BANK ON 2D GANTRY LOOSE | A2 cartridge load 2D left bank not picking | A5  / PEN LABELER / DAMAGED CARTON FEEDER SUCTION CUPS (D904592C),HIGH - Multiple per week,2026-07-07T06:13:34.000Z,1,27945251,RADIOMETER CALIBRATION,PM,K372221,IC0150A5INSRADIOMETER1,ANAL0001,null,null
A2,C17F33 Cap Fdr 2 Trk 3 Part Sep Sens Fail,1069,null,null,TIER 2 - Critical Active,426,258.4,0.6,179,2025-07-08 18:20:15,2026-07-07 13:20:14,285,K323714,IC0150A2EFEEDER2,ASSY,Assembly Equipment,A1 CARTON SKEW | A2  HIGH KICKOFF RATE FOR THE PLUS SIGN D831045AA | A2  HIGH REJECTS CAMERA 2,CRITICAL - Daily or more,2026-07-07T13:26:27.000Z,1,28124716,"A2 DSSA LOADER, DSSAs LOOSE IN FLIP TRANSFER",CM,K323502,IC0150A2AMODULEA,ASSY,ADJUSTED Y-AXIS,PARTS LOOSE IN FLIP TRANSFER
A5,Label Head 1 Broken Web Fault,7619,null,null,TIER 3 - Medium,55,256.6,4.7,43,2025-07-11 16:44:22,2026-07-03 23:05:57,70,K407113,IC0150A5B300DSSAFLIPCK,ASSY,Assembly Equipment,A5 - Labeler - Domino Print Adjustment | A5 - Labeler - Vision Adjustment | A5 CAMERA 1 VISION ADJUSTMENTS,MEDIUM - Weekly,2026-06-03T02:14:45.000Z,35,27905890,A5 LABELER REJECTS D891925D,CM,K407150,IC0150A5CELECTRICAL1,ELEC,"OPERATIONS CHANGED LABEL ROLL, CLEANED LABELER ROLLERS, REGISTRATION SENSOR AND TRUNNION ROLLERS",UNKNOWN
A5,C13 F036 Comp DSSA Check Insrt Test Mstr (Chass D3) A064695-501,1547,null,null,TIER 3 - High Active,126,251.9,2.0,108,2025-07-14 05:34:38,2026-07-03 06:21:04,254,K407186,IC0150A5EMODULEE,PACK,Packaging Equipment,"A2 DSSA LOADER, DSSA OVERLOADS | A5  LIT FEEDER 1 CAUSING PUSHER FAULTS | A5 - Cartoner - LVC Vision Adjustments",HIGH - Multiple per week,2026-07-03T09:02:08.000Z,5,28100837,"A5, Adhesive Dispensing -- inboard right missing alarms (D957016D)",CM,K407105,IC0150A5B270GLUEDISPCK,ASSY,  Utilized test tool K407410 to check adhesive dot placement.  Adjusted inboard right up and toward target for proper placement.,  Out of adjustment.
A2,Reconciler Rewind Runaway,312,null,null,TIER 4 - Low / Monitor,39,243.2,6.2,28,2025-07-20 00:37:17,2026-07-07 19:12:46,48,K323504,IC0150A2CMODULEC,ASSY,Assembly Equipment,A2  2D Gantry  R3 Cartridge loader issues. | A2 - Cartoner - Carton Forming Issues | A2 - Cartoner - Robot Dropping Pens,LOW - Less than weekly,2026-07-07T22:28:34.000Z,1,28126391,A2 CARTRIDGE LOAD G2D CARTRIDGE STICKING IN GRIPPER,CM,K323589,IC0150A2B280LOADCART,ASSY,CLEAN THE 1L GRIPPER ON THE G2D,:
A5,C10 F13 Chass Zone 0 GrdDoor 4 UnLck,7217,null,null,TIER 2 - Critical Active,1041,243.1,0.2,222,2025-07-11 11:20:13,2026-07-08 05:50:13,542,K407081,IC0150A5BMODULEB,PACK,Packaging Equipment,"A1 CARTON NO READ SENSOR NOT WORKING | A1 DSSA LOADER WON'T RUN | A2 DSSA LOADER, DSSA OVERLOADS",CRITICAL - Daily or more,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A2,Pusher axis backward limit stop ,224,null,null,TIER 3 - High Active,225,241.9,1.1,118,2025-07-08 20:29:59,2026-07-06 16:20:18,183,K323714,IC0150A2EFEEDER2,ASSY,Assembly Equipment,A2  HIGH REJECTS CAMERA 2 | A2 - Cartoner - Carton Skew | A2 - Cartoner - Glue Dots,HIGH - Multiple per week,2026-07-05T19:38:57.000Z,3,28111877,A2 PUSHER SAFETIES D934030A,CM,K323506,IC0150A2EMODULEE,PACK,"ADJUSTED PUSHER CHUTE HEIGHT ACCORDINGLY, ADJUSTED CARTON RAIL HEIGHT FROM 25.5 TO 25",UNKNOWN
A1,C16F38 Cap Fdr 1 Trk 2 Part Ctrl Rot Unit Sens Fail,555,null,null,TIER 2 - Critical Active,388,241.3,0.6,90,2025-07-22 13:33:34,2026-06-22 07:29:25,176,K291069,IC0150A1CMODULEC,ASSY,Assembly Equipment,A1 - Adjustment to Puck Conveyor Speed | A1 - Cartoner - Lit Feeder 1 Reject Faults | A1 - Case Packer - Carton Forming Issue,CRITICAL - Daily or more,2026-06-21T04:58:18.000Z,17,28016511,A1 G3D OVERLOADS D982466A,CM,K291060,IC0150A1B280LOADCART,ASSY,null,null
A5,C14 F028 DSSA Symbol Test Rmve Test Mstr (Chass D4) A064695-501,1581,null,null,TIER 3 - High Active,364,239.8,0.7,110,2025-07-10 00:21:16,2026-07-03 08:37:26,273,K407105,IC0150A5B270GLUEDISPCK,PACK,Packaging Equipment,"A2 DSSA LOADER, DSSA OVERLOADS | A5  LIT FEEDER 1 CAUSING PUSHER FAULTS | A5 - Cartoner - LVC Vision Adjustments",HIGH - Multiple per week,2026-07-03T09:02:08.000Z,5,28100837,"A5, Adhesive Dispensing -- inboard right missing alarms (D957016D)",CM,K407105,IC0150A5B270GLUEDISPCK,ASSY,  Utilized test tool K407410 to check adhesive dot placement.  Adjusted inboard right up and toward target for proper placement.,  Out of adjustment.
A1,C10F50 Chass Zone Grd Spot Cure Cls,545,null,null,TIER 3 - Medium,106,239.7,2.3,70,2025-07-22 21:57:03,2026-06-22 04:42:12,88,K323882,IC0150A1LIFTOFLEXA1,ASSY,Assembly Equipment,A1 - Cartoner - LVC No Reads | A1 - Cartoner - LVC Vision | A1 - Labeler - Reconciler Runaway,MEDIUM - Weekly,2026-06-20T02:14:07.000Z,18,28014615,A1 CART LOAD LIFT PINS STUCK D982466A,CM,K291060,IC0150A1B280LOADCART,ASSY,null,null
A1,C22 F030,7390,null,null,TIER 3 - High Active,150,237.7,1.6,36,2025-07-23 20:58:51,2026-05-07 22:24:38,54,K291079,IC0150A1BKOBER,ASSY,Assembly Equipment,A1 - Adjustment to Puck Conveyor Speed | A1 BOTTOM REAR FLAP ALARM D859817J | A1 CAP FEEDER - ISSUES FEEDING AND ORIENTING,HIGH - Multiple per week,2026-05-07T12:21:07.000Z,62,27741483,A1 CAP FEEDER - ISSUES FEEDING AND ORIENTING,CM,K291079,IC0150A1BKOBER,PACK0002,null,null
A5,C16 F016 Load Cap 1 Slide Overload A064697-501,1259,null,null,TIER 3 - High Active,207,236.8,1.1,67,2025-07-19 11:52:37,2026-06-14 10:15:29,142,K407166,IC0150A5B280CARTLOAD,ASSY,Assembly Equipment,"A2 DSSA LOADER, DSSA OVERLOADS | A5  / PEN LABELER / DAMAGED CARTON FEEDER SUCTION CUPS (D904592C) | A5  TIMING ISSUES AT THE CARTONER D869316A",HIGH - Multiple per week,2026-06-14T01:26:04.000Z,24,27974725,A5 LABELER HIGH REJECTS FOR CAMERA 2,CM,K407150,IC0150A5CELECTRICAL1,ELEC,Tried  moving light to help take glare out of label which did not work. Put light back to original position.  Adjusted firing position after cleaning drum which helped eliminate as many rejects. Firing position moved from AF 7.600 to AL 7.540. ,N/A
A5,C16 F061 Cap Fdr 1 C12 Lower Delvry Rot Unit  Not In Work Pos A064697-526A,1444,[27460780] A5 STAUBL ROBOT NOT IN HOME POSITION (CM | IC0150A5DROBOT | PACK),PRESCRIPTIVE,RESOLVED,236,236.5,1.0,46,2025-07-09 07:12:30,2026-03-31 03:28:56,129,K407105,IC0150A5B270GLUEDISPCK,PACK,Packaging Equipment,A5 - Cartoner - Broken Conveyor Dividers | A5 - Cartoner - Pen Conveyor Width | A5 - Cartoner - Robot Missing Pens,HIGH - Multiple per week,2026-03-31T05:26:46.000Z,99,27460780,A5 STAUBL ROBOT NOT IN HOME POSITION,CM,K407181,IC0150A5DROBOT,PACK,MANUALLY HOME CARTONER ROBOT,:
A5,SEV4 Reject bin 1 full  (611-B4 ),2811,null,null,TIER 3 - High Active,145,235.4,1.6,91,2025-07-09 05:17:58,2026-07-08 10:03:34,191,K407023,IC0150A5STNCART05,PACK,Packaging Equipment,A1 DSSA LOADER WON'T RUN | A2 BACK BANK ON 2D GANTRY LOOSE | A2 cartridge load 2D left bank not picking,HIGH - Multiple per week,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A2,Carton magazine jam ,262,null,null,TIER 3 - High Active,169,232.7,1.4,78,2025-07-09 07:11:04,2026-07-04 07:00:36,142,K323612,IC0150A2BKOBER1,ASSY,Assembly Equipment,A1 GLUE FACEPLATE REPLACMENT | A2  HIGH REJECTS CAMERA 2 | A2 - Cartoner - Carton Forming Issues,HIGH - Multiple per week,2026-06-25T21:10:27.000Z,13,28036602,A2 LV PRODUCT LENGTH TOO LONG D923770AA,CM,K323506,IC0150A2EMODULEE,PACK,ADJUSTED THE SKEW BELT AND UPPER RAIL HEIGHT (DB) FROM 26 TO 24 AND RAIL 46 FROM 57.0 TO 55.5 ,UNKNOWN 
A5,C27 F009 UnLd Good Pen Overload (Chass D2) A064709-501A,1441,null,null,TIER 3 - High Active,129,231.7,1.8,58,2025-08-02 20:09:29,2026-07-07 08:02:42,121,K407195,IC0150A5IMODULEI,PACK,Packaging Equipment,A5  TIMING ISSUES AT THE CARTONER D869316A | A5 - Cartoner - Carton Forming Issues | A5 - Cartoner - LVC Vision Adjustments,HIGH - Multiple per week,2026-07-07T06:13:34.000Z,1,27945251,RADIOMETER CALIBRATION,PM,K372221,IC0150A5INSRADIOMETER1,ANAL0001,null,null
A5,C10 F049 Chass Zone 0 Grd Door 7 Opn A064710-500G,1590,null,null,TIER 3 - High Active,159,228.0,1.4,114,2025-07-09 01:17:59,2026-07-07 23:00:46,222,K407190,IC0150A5EGLUEDISPENS,PACK,Packaging Equipment,A2 DELIVERY EJECT CYLINDER NOT IN WORK POSITION | A2 casepacker not pulling cases | A5 - Cartoner - LVC Vision Adjustments,HIGH - Multiple per week,2026-07-07T20:54:33.000Z,1,28126356,A5 STACKER AXIS FAULTS,CM,K407186,IC0150A5EMODULEE,PACK,ADJUST THE WIDTH OF THE CARTON LUG CHAIN TO REMOVE SKEW ON THE CARTONS.,:
A5,C19 F006 Adh App Line Stop. Valves Must Be Purged A064700-503,1559,null,null,TIER 3 - High Active,127,227.9,1.8,101,2025-07-10 15:59:15,2026-07-05 15:50:36,169,K407186,IC0150A5EMODULEE,PACK,Packaging Equipment,A2 LOOSE AIR HOSE CELL 26 | A2: Sentri1: EVS Vision tool alignment: Batch #D918673J | A5  CELL 21 PICK / PLACE ADJUSTMENTS FOR SPOT CURE CRASHES  D799173C,HIGH - Multiple per week,2026-07-05T15:12:53.000Z,3,28111814,A5 MODULE E LIT FEEDER 1 CARTONER / MISPICKING LIT FROM MAGAZINE (D957016D),CM,K407231,IC0150A5EFEEDER1,PACK,RAISED LOWER MAGAZINE RAILS AND ADJUSTED UPPER FEEDING ROLLERS,OUT OF ADJUSTMENT
A2,C19F6 Adh Apply Line Stop 24 Hour,1071,null,null,TIER 3 - High Active,124,226.4,1.8,101,2025-07-12 00:12:58,2026-07-04 04:16:18,133,K323715,IC0150A2EFEEDER3,ASSY,Assembly Equipment,A1 GLUE FACEPLATE REPLACMENT | A2  HIGH REJECTS CAMERA 2 | A2  RECONCILER FAULT,HIGH - Multiple per week,2026-07-04T02:57:25.000Z,4,28101292,A2 ACCUMULATION TABLE JAMS D934030A,CM,K323833,IC0150A2FIFOPUCKACC1,ASSY,SHUT DOWN THE CONVEYOR SYSTEM AND REALIGNED THE BELT ,UNKNOWN
A5,SEV4 fault case sensor infeed station not occupied (170-B9) fault case inquiry 170B9,2702,null,null,TIER 3 - High Active,204,225.9,1.1,82,2025-07-08 16:38:27,2026-07-05 10:31:44,158,K407186,IC0150A5EMODULEE,PACK,Packaging Equipment,A1 DSSA LOADER WON'T RUN | A2 BACK BANK ON 2D GANTRY LOOSE | A5 - DSSA Loader - G2D/Flip Transfer Issues,HIGH - Multiple per week,2026-07-05T08:23:20.000Z,3,28111402,A5 CARTONER MAIN MACHINE/ CARTONER EXCESSIVE PUSHERS/ D957016D,CM,K407186,IC0150A5EMODULEE,PACK,:,:
A5,MAC Fault,4290,null,null,TIER 3 - Medium,76,225.4,3.0,52,2025-07-20 22:39:34,2026-06-29 05:30:03,94,K407156,IC0150A5CMODULEC,ASSY,Assembly Equipment,A5 - Cartoner - Carton Forming Issues | A5 - Cartoner - Pushers Because of Lit | A5 - Cartoner - Robot Fault Won't Clear,MEDIUM - Weekly,2026-06-29T08:34:33.000Z,9,28043983,A5 PEN LABELER / CONVEYOR JAMS (D924673C),CM,K407156,IC0150A5CMODULEC,ROTA0017,REPOSITIONED ENTRY FEEDSCREW; ALIGNED EXIT FEEDSCREW; SECURED STARWHEEL VACCUM PLATE BOLTS AND LUBRICATED; ADJUSTED EMPTY PUCK TRANSITION RAILS AND EXIT CONVEYOR TRANSITION RAILS,OUT OF ADJUSTMENT/ALIGNMENT; LOOSE PARTS
A1,Exceeded quantity in the  bucket ,173,null,null,TIER 3 - High Active,248,224.2,0.9,97,2025-07-19 23:52:47,2026-06-23 04:13:45,177,K291053,IC0150A1A210DSSAFLIPLOAD,ASSY,Assembly Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - CAP FEEDER PEN ROTATOR ADJUSTMENT | A1 - Cartoner - Carton Forming Issues,HIGH - Multiple per week,2026-06-23T05:54:30.000Z,15,28022990,A1 HIGH REJECTS ON LVC CAMERA,CM,K372060,IC0150A1LVCVIS,VISN,null,null
A1,Minimum load booklet 1 ,164,null,null,TIER 3 - High Active,151,223.3,1.5,66,2025-07-19 22:07:48,2026-06-23 04:40:14,121,K291175,IC0150A1EMODULEE,PACK,Packaging Equipment,A1  CARTONER PRODUCT INTRODUCTION ALARMS D810436N | A1 - Cartoner - LVC Vision | A1 - Cartoner - Open Flaps,HIGH - Multiple per week,2026-06-23T05:54:30.000Z,15,28022990,A1 HIGH REJECTS ON LVC CAMERA,CM,K372060,IC0150A1LVCVIS,VISN,null,null
A2,C23F27 CBI Rmve Test Mstr,1059,null,null,TIER 3 - High Active,180,222.8,1.2,148,2025-07-08 18:06:42,2026-07-08 00:59:30,307,K323503,IC0150A2,ASSY,Assembly Equipment,A2  HIGH KICKOFF RATE FOR THE PLUS SIGN D831045AA | A2  HIGH REJECTS CAMERA 2 | A2  LABELER HIGH KICKOFF RATE CIRCLE SEARCH FAIL D881100F,HIGH - Multiple per week,2026-07-08T04:50:00.000Z,0,28126550,A2 LVC REJECTING FOR LINE 1 AND LINE 2,CM,K372068,IC0150A2LVC,PACK0010,null,null
A5,SEV4 Carton edge sensor glue application  (510-B1 ),2805,null,null,TIER 3 - Medium,90,222.7,2.5,58,2025-07-23 11:05:21,2026-07-08 06:24:08,119,K407084,IC0150A5BKOBER1,PACK,Packaging Equipment,A2 DELIVERY EJECT CYLINDER NOT IN WORK POSITION | A5  TIMING ISSUES AT THE CARTONER D869316A | A5 - Cartoner - Sucker Arm Issues,MEDIUM - Weekly,2026-07-08T09:12:44.000Z,0,28128327,A5 PEN ASSEMBLY MAIN MACHINE/ CRTRIDGE TRAY INFEED ROLLER REPLACEMENT/ D957016D,CM,K407081,IC0150A5BMODULEB,ASSY,null,null
A1,Skew Label Placement Lane Full,211,null,null,TIER 3 - High Active,164,221.6,1.4,84,2025-07-20 19:59:27,2026-06-22 17:01:45,150,K291069,IC0150A1CMODULEC,PACK,Packaging Equipment,A1 - Cartoner - LVC Vision | A1 - Cartoner - Lit Feeder 1 Reject Faults | A1 - Cartoner - Lit Feeder 3 Not Rejecting Properly,HIGH - Multiple per week,2026-06-20T02:14:07.000Z,18,28014615,A1 CART LOAD LIFT PINS STUCK D982466A,CM,K291060,IC0150A1B280LOADCART,ASSY,null,null
